device,ipFlow,uniqueIps,subnetIps,externalIps,ipVariance,length_0,entropy_0,TCP_0,UDP_0,HTTPS_0,hdrLen_0,commonSrc_0,commonDst_0,HTTP_0,IPv6_0,ICMP_0,DHCP_0,length_1,entropy_1,TCP_1,UDP_1,HTTPS_1,hdrLen_1,commonSrc_1,commonDst_1,HTTP_1,IPv6_1,ICMP_1,DHCP_1,length_2,entropy_2,TCP_2,UDP_2,HTTPS_2,hdrLen_2,commonSrc_2,commonDst_2,HTTP_2,IPv6_2,ICMP_2,DHCP_2,length_3,entropy_3,TCP_3,UDP_3,HTTPS_3,hdrLen_3,commonSrc_3,commonDst_3,HTTP_3,IPv6_3,ICMP_3,DHCP_3,length_4,entropy_4,TCP_4,UDP_4,HTTPS_4,hdrLen_4,commonSrc_4,commonDst_4,HTTP_4,IPv6_4,ICMP_4,DHCP_4,length_5,entropy_5,TCP_5,UDP_5,HTTPS_5,hdrLen_5,commonSrc_5,commonDst_5,HTTP_5,IPv6_5,ICMP_5,DHCP_5,length_6,entropy_6,TCP_6,UDP_6,HTTPS_6,hdrLen_6,commonSrc_6,commonDst_6,HTTP_6,IPv6_6,ICMP_6,DHCP_6
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0,0.0,1,0,1,32,1,0,0,0,0,0,3353,-3.469225133103946,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,377.0,-3.4712644048829837,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,677,-3.5593181447602116,1,0,1,32,1,0,0,0,0,0,647,-3.5750443758004424,1,0,1,32,0,1,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,2072,-3.5816403363949645,1,0,1,32,1,0,0,0,0,0,92,-3.3803981821294777,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,1,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,40,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1,0,1,40,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,458,-2.9911766094552075,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,1,0,0,0,0,0,3353,-3.4700505580074674,1,0,1,32,1,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,377.0,-3.4554997962595064,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1,0,1,32,1,0,0,0,0,0,677,-3.567273064516015,1,0,1,32,1,0,0,0,0,0
Omna,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.0,0.0,1340,-3.57074848620778,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,1,0,0,0,0,0,4343,-3.565996182668351,1,0,1,32,1,0,0,0,0,0,3383.0,-3.5825103718449225,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,92,-3.450693153970443,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,1,0,0,0,0,0
Omna,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.0,0.0,92,-3.16247694238933,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0,20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,40,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1,0,1,40,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,458,-2.9703853561163718,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,1,0,0,0,0,0,3353,-3.4757737998915954,1,0,1,32,1,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,377.0,-3.4836224181620787,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1,0,1,32,1,0,0,0,0,0,677,-3.5441084287183053,1,0,1,32,1,0,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,614,-3.569998763310558,1,0,1,32,0,1,0,0,0,0,2072,-3.583001259970079,1,0,1,32,1,0,0,0,0,0,92,-3.4497536765509706,1,0,1,32,1,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1,0,1,40,0,1,0,0,0,0,0,0.0,1,0,1,40,1,0,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,458,-2.9667541196100076,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,1,0,0,0,0,0,3353.0,-3.4745065408872007,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,377,-3.45061294569937,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,1,0,0,0,0,0
Omna,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.0,0.0,677,-3.555658043303272,1,0,1,32,1,0,0,0,0,0,1274,-3.5809384614820545,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,1,0,0,0,0,0,635.0,-3.5763332980187545,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,4343.0,-3.5828390770212897,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,1502,-3.5809266248339426,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,4343,-3.5815445400875756,1,0,1,32,1,0,0,0,0,0,1502,-3.577648896104621,1,0,1,32,1,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,4343,-3.583099611336288,1,0,1,32,1,0,0,0,0,0,1502,-3.578775977908206,1,0,1,32,1,0,0,0,0,0
Omna,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.0,0.0,4343,-3.5836513273788313,1,0,1,32,1,0,0,0,0,0,1502,-3.583813267186445,1,0,1,32,1,0,0,0,0,0,4343,-3.583637034668962,1,0,1,32,1,0,0,0,0,0,1502.0,-3.581915964404044,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,40,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1,0,1,40,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,458,-2.978221141477505,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,1,0,0,0,0,0,3353,-3.470507530156212,1,0,1,32,1,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,377.0,-3.4654605596289203,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1,0,1,32,1,0,0,0,0,0,677,-3.541249356188103,1,0,1,32,1,0,0,0,0,0
Omna,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.0,0.0,503,-3.5259965413772374,1,0,1,32,0,1,0,0,0,0,2015,-3.5821703004415513,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,0.0,0.0,1.0,0.0,1.0,40,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,40,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0,1,32,0,1,0,0,0,0,458,-3.0074624446431044,1,0,1,32,0,1,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0,0.0,1,0,1,32,1,0,0,0,0,0,3353,-3.4658544885047546,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,377.0,-3.4501041519145494,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,677,-3.560951410848963,1,0,1,32,1,0,0,0,0,0,1175,-3.57174611760137,1,0,1,32,0,1,0,0,0,0
Omna,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.14285714285714285,1.238095238095238,0,0.0,1,0,1,32,1,0,0,0,0,0,1475,-3.5773727736526286,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,797.0,-3.573637464079116,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,455,-3.57388183945616,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,1,0,0,0,0,0
Omna,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,1.238095238095238,497,-3.570700871164232,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,1,0,0,0,0,0,455,-3.571281375515393,1,0,1,32,1,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,40,0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1,0,0,40,1,0,1,0,0,0,0,0.0,1,0,0,32,0,1,1,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,848,-3.2461725951217195,1,0,0,32,0,1,1,0,0,0,0,0.0,1,0,0,32,1,0,1,0,0,0,0,0.0,1,0,0,40,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,5,-1.9219280948873623,1,0,0,32,0,0,0,0,0,0,0,0.0,1,0,0,32,0,0,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,29,-3.2964564256398385,1,0,0,32,0,0,0,0,0,0,0,0.0,1,0,0,32,0,0,0,0,0,0,101,-3.5375754156817933,1,0,0,32,0,0,0,0,0,0,5.0,-1.9219280948873623,1.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,101.0,-1.9402176765688093,1.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,29,-3.27042582211696,1,0,0,32,0,0,0,0,0,0,0,0.0,1,0,0,32,0,0,0,0,0,0
Omna,0.5714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.0,0,0.0,1,0,1,40,0,1,0,0,0,0,0,0.0,1,0,1,40,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0,458.0,-2.933783199419672,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,3353,-3.4750235885833445,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,0,1,0,0,0,0
Omna,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.0,0.0,377,-3.456283583539004,1,0,1,32,0,1,0,0,0,0,0,0.0,1,0,1,32,1,0,0,0,0,0,677,-3.5519337521809473,1,0,1,32,1,0,0,0,0,0,647.0,-3.5627502194447054,1.0,0.0,1.0,32,0.0,1.0,0.0,0.0,0.0,0.0,2072.0,-3.5814795544844618,1.0,0.0,1.0,32,1.0,0.0,0.0,0.0,0.0,0.0,92,-3.3897994271028753,1,0,1,32,1,0,0,0,0,0,0,0.0,1,0,1,32,1,0,0,0,0,0
